,/ang_vel,/position
0,-2.98,
1,0.24,
2,-1.41,
3,-2.83,
4,-0.86,
5,-0.43,
6,-0.26,
7,-0.09,
8,-4.34,
9,-3.77,
10,-4.79,
11,-5.93,
12,-6.3,
13,-5.89,
14,-6.58,
15,-5.21,
16,-6.09,
17,-5.54,
18,-5.62,
19,-5.57,
20,-5.67,
21,-5.22,
22,-5.39,
23,-5.25,
24,-5.64,
25,-5.37,
26,-5.18,
27,-5.28,
28,-5.34,
29,-5.48,
30,-5.37,
31,-5.21,
32,-5.39,
33,-5.39,
34,-5.57,
35,-5.66,
36,-5.8,
37,-5.66,
38,-5.66,
39,-5.87,
40,-6.13,
41,-6.01,
42,-6.3,
43,-6.3,
44,-6.71,
45,-6.67,
46,-4.63,
47,-2.73,
48,-1.2,
49,0.15,
50,0.2,
51,1.63,
52,1.58,
53,1.67,
54,-0.66,
55,0.15,
56,1.08,
57,1.64,
58,1.63,
59,1.93,
60,1.63,
61,-0.06,
62,0.44,
63,0.92,
64,-0.23,
65,-0.15,
66,-1.63,
67,-2.13,
68,-1.05,
69,-1.02,
70,-0.61,
71,-1.56,
72,-1.34,
73,0.38,
74,-0.6,
75,-2.21,
76,-3.16,
77,-4.21,
78,-4.63,
79,-2.09,
80,-2.91,
81,-4.86,
82,-5.74,
83,-6.53,
84,-6.37,
85,-2.98,
86,-2.91,
87,-2.75,
88,-2.17,
89,-1.79,
90,-1.78,
91,-1.44,
92,-1.08,
93,-0.57,
94,-1.51,
95,-0.89,
96,-0.32,
97,-0.98,
98,-0.22,
99,-1.16,
100,-1.46,
101,-1.2,
102,-0.11,
103,0.44,
104,0.66,
105,0.76,
106,2.69,
107,1.87,
108,1.48,
109,2.04,
110,1.63,
111,3.14,
112,2.98,
113,1.25,
114,1.18,
115,1.38,
116,1.01,
117,0.27,
118,-0.46,
119,0.05,
120,-1.7,
121,-3.15,
122,-3.4,
123,-4.0,
124,-5.37,
125,-3.92,
126,-4.31,
127,-4.08,
128,-2.95,
129,-2.94,
130,-2.92,
131,-3.24,
132,-3.08,
133,-2.18,
134,-2.1,
135,-1.82,
136,-2.13,
137,-1.96,
138,-1.29,
139,-1.12,
140,-1.08,
141,-0.83,
142,-0.79,
143,-0.36,
144,-0.11,
145,0.0,
146,0.39,
147,0.43,
148,0.75,
149,0.96,
150,1.44,
151,1.57,
152,1.77,
153,2.22,
154,2.31,
155,2.57,
156,3.02,
157,-1.11,
158,-3.51,
159,-4.9,
160,-7.79,
161,-16.82,
162,-22.6,
163,-23.01,
164,-18.28,
165,-22.53,
166,-22.56,
167,-28.7,
168,-30.68,
169,-30.79,
